customer_id,signup_date,last_activity_date,last_purchase_date,total_spent,avg_cart_value,num_visits_30d,num_purchases_90d,days_since_last_purchase,preferred_device,city,country,is_purchased_next_30
C100000,2023-08-02,2024-10-12,2023-10-27,397.81,22.76,0,0,643,mobile,Kandy,Sri Lanka,0
C100001,2020-08-16,2020-11-13,,0.0,0.0,0,0,1810,desktop,Matara,Sri Lanka,0
C100002,2020-02-21,2020-12-18,2020-08-28,33.25,51.38,1,1,1798,mobile,Colombo,Sri Lanka,0
C100003,2024-02-27,2026-06-19,2025-09-15,77.56,32.41,1,2,-46,desktop,Jaffna,Sri Lanka,1
C100004,2021-07-17,2023-05-25,,0.0,0.0,2,0,1475,mobile,Galle,Sri Lanka,0
C100005,2021-05-16,2023-02-15,2021-10-31,83.75,56.95,2,1,1369,mobile,Negombo,Sri Lanka,0
C100006,2021-04-02,2022-12-07,,0.0,0.0,5,0,1581,mobile,Negombo,Sri Lanka,1
C100007,2020-10-12,2022-02-15,2021-05-24,72.62,35.79,1,0,1529,mobile,Kandy,Sri Lanka,0
C100008,2024-02-17,2024-09-08,,0.0,0.0,2,0,530,desktop,Jaffna,Sri Lanka,0
C100009,2020-07-28,2020-11-04,,0.0,0.0,1,0,1829,mobile,Anuradhapura,Sri Lanka,0
C100010,2023-10-17,2023-11-12,,0.0,0.0,2,0,653,mobile,Matara,Sri Lanka,0
C100011,2024-02-25,2024-09-23,,0.0,0.0,3,0,522,desktop,Kandy,Sri Lanka,0
C100012,2023-01-21,2023-07-14,2023-03-24,201.56,66.14,0,1,860,mobile,Kurunegala,Sri Lanka,1
C100013,2020-06-27,2022-04-11,,0.0,0.0,3,0,1860,desktop,Kandy,Sri Lanka,0
C100014,2023-04-24,2024-02-16,2024-02-15,24.1,55.03,4,2,532,mobile,Kandy,Sri Lanka,1
C100015,2022-05-14,2025-02-07,2022-06-24,247.5,68.16,2,0,1133,mobile,Kurunegala,Sri Lanka,0
C100016,2020-03-06,2020-05-28,,0.0,0.0,2,0,1973,tablet,Matara,Sri Lanka,0
C100017,2020-03-02,2021-06-29,,0.0,0.0,1,0,1977,mobile,Anuradhapura,Sri Lanka,0
C100018,2020-07-10,2022-11-21,2020-11-23,137.99,41.15,2,0,1711,desktop,Galle,Sri Lanka,0
C100019,2021-03-23,2021-07-19,2021-04-04,174.72,51.03,0,2,1579,mobile,Negombo,Sri Lanka,0
C100020,2021-04-21,2022-03-02,2022-02-28,34.54,13.99,3,1,1249,mobile,Jaffna,Sri Lanka,1
C100021,2022-10-31,2025-01-11,,0.0,0.0,3,0,1004,mobile,Colombo,Sri Lanka,0
C100022,2023-05-17,2024-06-27,2023-11-25,56.59,46.37,5,2,614,mobile,Anuradhapura,Sri Lanka,1
C100023,2020-02-24,2021-06-20,,0.0,0.0,1,0,1984,desktop,Colombo,Sri Lanka,0
C100024,2023-02-23,2024-07-07,2024-03-27,48.47,65.99,2,0,491,mobile,Kandy,Sri Lanka,0
C100025,2021-02-11,2023-08-16,,0.0,0.0,2,0,1631,mobile,Anuradhapura,Sri Lanka,0
C100026,2024-01-06,2025-11-12,2024-06-15,453.13,71.5,2,3,411,mobile,Matara,Sri Lanka,0
C100027,2023-08-23,2024-05-20,2023-08-31,133.29,40.53,5,0,700,desktop,Kurunegala,Sri Lanka,0
C100028,2023-12-07,2024-03-09,2024-02-07,50.13,59.28,2,3,540,desktop,Matara,Sri Lanka,0
C100029,2023-01-21,2024-11-08,,0.0,0.0,3,0,922,desktop,Jaffna,Sri Lanka,0
C100030,2022-05-09,2023-11-17,,0.0,0.0,4,0,1179,desktop,Matara,Sri Lanka,0
C100031,2021-03-27,2022-04-27,,0.0,0.0,1,0,1587,mobile,Colombo,Sri Lanka,0
C100032,2022-07-08,2023-01-13,2022-07-28,102.33,58.73,0,0,1099,mobile,Colombo,Sri Lanka,0
C100033,2023-04-21,2024-05-04,2023-04-24,127.14,12.75,1,0,829,mobile,Negombo,Sri Lanka,0
C100034,2021-07-23,2024-01-15,2021-07-30,158.05,45.3,1,1,1462,mobile,Kandy,Sri Lanka,1
C100035,2024-07-15,2025-08-09,,0.0,0.0,3,0,381,mobile,Galle,Sri Lanka,1
C100036,2020-01-14,2021-01-26,2020-04-14,183.47,53.84,4,0,1934,mobile,Kurunegala,Sri Lanka,0
C100037,2024-04-03,2024-10-11,,0.0,0.0,0,0,484,mobile,Anuradhapura,Sri Lanka,0
C100038,2024-07-08,2025-10-07,2024-08-22,267.29,26.46,1,1,343,mobile,Anuradhapura,Sri Lanka,0
C100039,2020-11-22,2021-01-06,,0.0,0.0,0,0,1712,mobile,Anuradhapura,Sri Lanka,0
C100040,2023-11-30,2024-08-25,2024-04-23,265.9,43.81,0,0,464,mobile,Kandy,Sri Lanka,0
C100041,2022-05-15,2023-08-08,2022-12-14,366.84,76.72,4,1,960,mobile,Kandy,Sri Lanka,1
C100042,2021-11-27,2023-03-18,2022-11-17,46.05,20.24,2,0,987,mobile,Jaffna,Sri Lanka,0
C100043,2021-07-23,2022-04-18,2022-03-23,174.63,52.24,1,1,1226,tablet,Anuradhapura,Sri Lanka,0
C100044,2020-11-14,2021-07-03,2021-05-10,94.65,56.63,3,2,1543,mobile,Galle,Sri Lanka,0
C100045,2021-03-16,2023-07-21,,0.0,0.0,2,0,1598,desktop,Anuradhapura,Sri Lanka,1
C100046,2024-04-12,2025-01-12,2024-06-15,93.66,46.94,1,1,411,desktop,Negombo,Sri Lanka,0
